COACHES,AGE BEFORE,YEAR JOINED,YEAR LEFT,GRADE BEFORE,GRADE AFTER,years
Guillermo Cañas,28,2022,2023,5,7,$1
,,,,,,$0
Juan Todero,,,,,,$0
Jim Madrigal,,,,,,$0
Dieter Kindlmann,,,,,,$0
Jesse Levine,,,,,,$0
Anton Korchevskyi,,,,,,$0
Renzo Furlan,,,,,,$0
Tim Nicholls,,,,,,$0
Sergei Gennadievich Demekhine,,,,,,$0
Andrew Bettles,,,,,,$0
Thierry Ascione,,,,,,$0
SÃ©bastien Mathieu,,,,,,$0
Mark Gellard,,,,,,$0
Adriano Albanesi,,,,,,$0
Dmytro Brichek,,,,,,$0
"Julian Alonso, Jorge Fernandez",,,,,,$0
Jorge Fernandez,,,,,,$0
"Wang Peng, Aleksandar SloviÄ‡, Miro Hrvatin",,,,,,$0
Wang Peng,,,,,,$0
"Talina Beiko, Sandra Zaniewska",,,,,,$0
Oleh Kostyuk,,,,,,$0
"Daniel VallverdÃº, Olga Savchuk",,,,,,$0
"Rennae Stubbs,TomÃ¡Å¡ Krupa",,,,,,$0
Gerard Solves,,,,,,$0
Nina Bratchikova,,,,,,$0
Natalia Kazakova,,,,,,$0
"Alex Kenin, Michael Joyce",,,,,,$0
Rick Macci,,,,,,$0
Charles-Edouard Maria,,,,,,$0
Jorge Todero,,,,,,
Stephen Huss,,,,,,
Tom Lockhart,,,,,,
Darian King,,,,,,
Sven Groeneveld,,,,,,
Nick Saviano,,,,,,
David Nainkin,,,,,,
Julian Alonso,,,,,,
Aleksandr Pavlyuchenkov,,,,,,
Jean-René Lisnard,,,,,,
Dmitri Siniakov,,,,,,
Helena Sukova,,,,,,
Tomas Kupa,,,,,,
Victor Prezelin,,,,,,
Alexia Dechaume,,,,,,
Sílvia Soler Espinosa,,,,,,
Sergio Giorgi,,,,,,
Biljana Vesilinovic,,,,,,
Francesco Piccari,,,,,,
Ion Bucșa,,,,,,
Xavier Pujo and Gerard Solves,,,,,,
Ivo Klec,,,,,,
Matteo Catarsi,,,,,,
JARED JACOBS,,,,,,
ROMAN KISLIANSKII,,,,,,
"EMILIANO REDONDI, JUAN PABLO GUZMÃN",,,,,,
Fausto Scolari,,,,,,
Ann Devries,,,,,,
Tom Baten,,,,,,
Ladislav Simon,,,,,,
Milan Martinec,,,,,,
Andrzej Kobierski,,,,,,
Mihail Kanev,,,,,,
Konstantin Tomov,,,,,,
