COACHES,PLAYERS,AGE BEFORE,AGE AFTER,RANK BEFORE,RANK PEAK,RANK AFTER,CHANGE,YEAR JOINED,YEAR LEFT,GRADE BEFORE,GRADE AFTER,EARNING BEFORE,EARNING AFTER,EARNING DIFFERENCE,COUNTRY,COACH EARNING
David Kotyza,Karolína Plíšková,24,25,6,6,7,1,2016,2017,1,1,"$2,811,484","$2,811,484",$0,Czechia,
David Kotyza,Karolína Muchová,24,26,27,27,149,122,2020,2022,3,11,"$1,209,845","$252,676","-$957,169",Czechia,
,,,,,,,0,,,,,,,0,,
Stas Khmarsky,Alex Dolgopolov ,15,20,57,23,299,242,2013,2018,6,12,"$614,339","$97,257","-$517,082",Ukraine,
Stas Khmarsky,Jelena Ostapenko,24,25,28,18,18,-10,2021,2022,3,2,"$1,209,845","$1,614,396","$404,551",Ukraine,
Stas Khmarsky,Kostyuk Marta ,20,,70,39,,-70,2022,,7,,"$564,318",,"-$564,318",Ukraine,
,,,,,,,0,,,,,,,0,,
Philippe Dehaes,Kaja Juvan,21,23,98,88,104,6,2021,2023,10,11,"$447,755","$252,676","-$195,079",Belgium,
Philippe Dehaes,Greet Minnen,25,,202,62,,-202,2022,,12,,"$97,257",,"-$97,257",Belgium,
,,,,,,,0,,,,,,,0,,
Vladimír Pláteník,Dominika Cibulková,18,20,52,19,30,-22,2007,2009,6,3,"$614,339","$1,209,845","$595,506",Slovakia,
Vladimír Pláteník,Daria Kasatkina,18,20,72,24,24,-48,2015,2017,8,3,"$521,465","$1,209,845","$688,380",Slovakia,
Vladimír Pláteník,Belinda Bencic,21,21,37,37,37,0,2018,2018,4,4,"$888,169","$888,169",$0,Slovakia,
,,,,,,,0,,,,,,,0,,
Danilo Pizzorno,,,,,,,0,,,,,,,0,,
,,,,,,,0,,,,,,,0,,
Pere Riba,Zheng Qinwen,19,21,143,15,15,-128,2021,2023,11,2,"$252,676","$1,614,396","$1,361,720",Spain,
Pere Riba,Coco Gauff,19,19,3,3,3,0,2023,2023,1,1,"$2,811,484","$2,811,484",$0,Spain,
Pere Riba,Zheng Qinwen,21,,15,,,-15,2023,,2,,"$1,614,396",,"-$1,614,396",Spain,
,,,,,,,0,,,,,,,0,,
Adam Peterson,Lindsay Davenport,26,32,12,1,36,24,2002,2008,2,4,"$1,614,396","$888,169","-$726,227",US,
Adam Peterson,Samantha Stosur,23,23,47,47,47,0,2007,2007,5,5,"$731,739","$731,739",$0,US,
Adam Peterson,CoCo Vandeweghe,17,18,405,354,354,-51,2008,2009,15,14,"$11,738","$17,304","$5,566",US,
Adam Peterson,Madison Keys,18,20,37,18,18,-19,2013,2015,4,2,"$888,169","$1,614,396","$726,227",US,
,,,,,,,0,,,,,,,0,,
